Green Beige,#BEBD7F,190,189,127,75.59100341796875,-11.388249397277832,39.39680862426758
Beige,#C2B078,194,176,120,72.40576171875,-3.8748183250427246,38.721351623535156
Sand Yellow,#C6A664,198,166,100,69.94679260253906,1.3754041194915771,45.36709213256836
Signal Yellow,#E5BE01,229,190,1,78.66465759277344,-0.8878557085990906,84.43050384521484
Golden Yellow,#CDA434,205,164,52,69.75505828857422,3.027726411819458,65.7979507446289
Honey Yellow,#A98307,169,131,7,57.182308197021484,3.962670087814331,64.67131805419922
Maize Yellow,#E4A010,228,160,16,71.20719146728516,14.04741382598877,77.3482666015625
Daffodil Yellow,#DC9D00,220,157,0,69.53425598144531,12.149382591247559,77.55479431152344
Brown Beige,#8A6642,138,102,66,46.32365417480469,8.221121788024902,31.244457244873047
Lemon Yellow,#C7B446,199,180,70,73.41409301757812,-6.973889350891113,62.58245086669922
Oyster White,#EAE6CA,234,230,202,91.06041717529297,-7.594179630279541,24.804067611694336
Ivory,#E1CC4F,225,204,79,82.11804962158203,-7.865914821624756,69.18533325195312
Light Ivory,#E6D690,230,214,144,85.75827026367188,-6.854980945587158,45.31978988647461
Sulfur Yellow,#EDFF21,237,255,33,96.25668334960938,-28.251718521118164,94.95743560791016
Saffron Yellow,#F5D033,245,208,51,84.86099243164062,-2.57171893119812,81.80707550048828
Zinc Yellow,#F8F32B,248,243,43,94.00685119628906,-18.290931701660156,91.74434661865234
Grey Beige,#9E9764,158,151,100,62.139888763427734,-7.191760063171387,34.51280212402344
Olive Yellow,#999950,153,153,80,62.00703811645508,-11.851288795471191,43.99516296386719
Rape Yellow,#F3DA0B,243,218,11,87.10661315917969,-8.81322956085205,90.53656005859375
Traffic Yellow,#FAD201,250,210,1,85.74293518066406,-2.1126484870910645,90.66121673583984
Ochre Yellow,#AEA04B,174,160,75,65.7847671508789,-6.993409156799316,51.29024887084961
Luminous Yellow,#FFFF00,255,255,0,97.60871887207031,-21.47576332092285,99.74375915527344
Curry,#9D9101,157,145,1,59.70899200439453,-8.808870315551758,66.76689147949219
Melon Yellow,#F4A900,244,169,0,75.1803207397461,15.940695762634277,82.98221588134766
Broom Yellow,#D6AE01,214,174,1,73.09318542480469,0.8946388959884644,79.59107971191406
Dahlia Yellow,#F3A505,243,165,5,74.13906860351562,17.580814361572266,81.67762756347656
Pastel Yellow,#EFA94A,239,169,74,74.86217498779297,15.233477592468262,64.0050277709961
Pearl Beige,#6A5D4D,106,93,77,40.41853332519531,0.4078464210033417,16.606903076171875
Pearl Gold,#705335,112,83,53,37.8818359375,6.622218132019043,26.81731414794922
Sun Yellow,#F39F18,243,159,24,72.79010009765625,20.780284881591797,78.11532592773438
Yellow Orange,#ED760E,237,118,14,63.21970748901367,38.69976043701172,72.7398910522461
Red Orange,#C93C20,201,60,32,47.38863754272461,51.5452880859375,52.556251525878906
Vermilion,#CB2821,203,40,33,45.49091339111328,58.38142776489258,50.63072204589844
Pastel Orange,#FF7514,255,117,20,65.77764129638672,45.78439712524414,74.83907318115234
Pure Orange,#F44611,244,70,17,56.62966537475586,60.99834442138672,68.7430191040039
Luminous Orange,#FF2301,255,35,1,55.52635955810547,72.67723846435547,73.15907287597656
Luminous Bright Orange,#FFA420,255,164,32,75.41653442382812,23.171445846557617,79.18589782714844
Bright Red Orange,#F75E25,247,94,37,60.62314987182617,53.21482849121094,65.45374298095703
Traffic Orange,#F54021,245,64,33,56.163124084472656,63.37245178222656,63.303794860839844
Signal Orange,#D84B20,216,75,32,52.29100036621094,50.62533187866211,57.96400451660156
Deep Orange,#EC7C26,236,124,38,64.34226989746094,35.726009368896484,67.34407043457031
Salmon Range,#E55137,229,81,55,55.64101028442383,52.93484878540039,51.76824951171875
Pearl Orange,#C35831,195,88,49,51.0567626953125,38.00895690917969,47.7900276184082
Flame Red,#AF2B1E,175,43,30,40.15290069580078,49.3845100402832,44.81325149536133
Signal Red,#A52019,165,32,25,36.86179733276367,49.65045166015625,43.424739837646484
Carmine Red,#A2231D,162,35,29,36.58189010620117,47.9872932434082,40.85451126098633
Ruby Red,#9B111E,155,17,30,33.498741149902344,50.45380401611328,36.71459197998047
Purple Red,#75151E,117,21,30,25.477439880371094,38.68490982055664,25.11961555480957
Wine Red,#5E2129,94,33,41,22.70242691040039,26.534648895263672,13.4918212890625
Black Red,#412227,65,34,39,17.66553497314453,13.80263614654541,6.8364458084106445
Oxide Red,#642424,100,36,36,24.33893394470215,27.038164138793945,19.06629753112793
Brown Red,#781F19,120,31,25,27.348430633544922,35.998165130615234,30.401355743408203
Beige Red,#C1876B,193,135,107,61.76097869873047,16.111726760864258,31.245925903320312
Tomato Red,#A12312,161,35,18,36.304771423339844,47.502471923828125,45.84332275390625
Antique Pink,#D36E70,211,110,112,58.647037506103516,36.27649688720703,24.886028289794922
Light Pink,#EA899A,234,137,154,68.16243743896484,34.403839111328125,16.41568374633789
Coral Red,#B32821,179,40,33,40.63717269897461,51.575992584228516,44.099796295166016
Rose,#E63244,230,50,68,52.09980392456055,63.940975189208984,41.189327239990234
Strawberry Red,#D53032,213,48,50,48.39602279663086,59.35285186767578,45.68015670776367
Traffic Red,#CC0605,204,6,5,43.607078552246094,63.866512298583984,60.200294494628906
Salmon Pink,#D95030,217,80,48,53.343753814697266,49.242549896240234,51.9995231628418
Luminous Red,#F80000,248,0,0,52.811344146728516,74.58097076416016,71.53948974609375
luminous Bright Red,#FE0000,254,0,0,54.0692024230957,75.94698333740234,72.84378051757812
Raspberry Red,#C51D34,197,29,52,43.51308059692383,59.70941162109375,38.149959564208984
Pure Red,#CB3234,203,50,52,46.67728805541992,55.96803283691406,42.075191497802734
Orient Red,#B32428,179,36,40,40.27851104736328,52.859954833984375,40.045711517333984
Pearl Ruby Red,#721422,114,20,34,24.77334213256836,38.19447326660156,21.602067947387695
Pearl Pink,#B44C43,180,76,67,46.54362106323242,38.879146575927734,32.502540588378906
Red Lilac,#6D3F5B,109,63,91,33.13313293457031,20.892107009887695,-2.048048257827759
Red Violet,#922B3E,146,43,62,34.83616256713867,41.41466522216797,18.829755783081055
Heather Violet,#DE4C8A,222,76,138,55.038875579833984,56.769859313964844,5.792014122009277
Claret Violet,#641C34,100,28,52,23.256290435791016,31.767717361450195,7.384903430938721
Blue Lilac,#6C4675,108,70,117,35.60478210449219,20.296552658081055,-13.627267837524414
Traffic Purple,#A03472,160,52,114,40.07726287841797,45.99512481689453,-4.202348232269287
Purple Violet,#4A192C,74,25,44,17.325883865356445,23.26608657836914,3.290727376937866
Signal Violet,#924E7D,146,78,125,42.90617752075195,30.460126876831055,-6.5158467292785645
Pastel Violet,#A18594,161,133,148,58.544315338134766,8.913866996765137,4.384749889373779
Telemagenta,#CF3476,207,52,118,48.80314636230469,59.46946716308594,7.545119285583496
